Crop,Disease,Symptoms,Solution
Carrot,Alternaria Leaf Blight,"Brown to black spots with concentric rings on leaves, leaf blight","Remove affected leaves, apply fungicides like Mancozeb, crop rotation"
Carrot,Powdery Mildew,"White powdery growth on leaves, leaf curling","Ensure proper spacing, remove infected leaves, apply Sulfur sprays"
Carrot,Downy Mildew,"Yellow patches on leaves, grayish fungal growth on underside","Grow resistant varieties, improve air circulation, fungicides like Mancozeb"
Carrot,Cavity Spot,"Small sunken lesions on roots, black centers","Use disease-free seeds, proper soil drainage, crop rotation"
Carrot,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Carrot,Bacterial Soft Rot,"Soft, water-soaked lesions on roots, foul smell","Remove infected roots, proper drainage, avoid injury during harvest"
Carrot,Leaf Spot (Cercospora),"Small circular brown spots on leaves, leaf drop","Remove infected leaves, fungicides like Copper oxychloride, crop rotation"
Carrot,Fusarium Wilt,"Yellowing and wilting of leaves, vascular browning","Use resistant varieties, crop rotation, soil solarization"
Carrot,Aphid Infestation,"Curling and yellowing of leaves, reduced growth","Introduce natural predators, insecticides like Imidacloprid"
Carrot,Powdery Scab,"Raised lesions on roots, scabby appearance","Use disease-free seeds, avoid waterlogged soil, crop rotation"
Spinach,Downy Mildew,"Yellow patches on upper leaf surface, grayish fungal growth underneath","Improve air circulation, grow resistant varieties, apply fungicides like Mancozeb"
Spinach,Powdery Mildew,"White powdery growth on leaves, leaf curling","Remove infected leaves, ensure spacing, apply Sulfur sprays"
Spinach,Leaf Spot (Cercospora),Small circular brown or black spots on leaves,"Remove affected leaves, apply fungicides like Copper oxychloride, crop rotation"
Spinach,Fusarium Wilt,"Wilting of leaves, yellowing, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Spinach,White Rust,"White pustules on leaf underside, yellowing leaves","Remove infected leaves, use resistant varieties, apply fungicides"
Spinach,Bacterial Leaf Spot,"Small water-soaked spots, leaf yellowing, premature drop","Use disease-free seeds, copper-based bactericides, crop rotation"
Spinach,Downy Spot (Peronospora),"Yellow spots on upper leaf surface, fuzzy gray growth underneath","Improve air circulation, fungicides like Mancozeb, crop rotation"
Spinach,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Spinach,Root-Knot Nematode,"Swollen roots, stunted plants, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Spinach,Leaf Blight,"Brown lesions on older leaves, leaf drop","Remove affected leaves, apply fungicides, crop rotation"
Snake Gourd,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure proper spacing, apply Sulfur or Potassium bicarbonate sprays"
Snake Gourd,Downy Mildew,"Yellow angular spots on leaves, gray fungal growth underside","Grow resistant varieties, proper drainage, apply fungicides like Mancozeb"
Snake Gourd,Anthracnose,"Dark sunken spots on fruits, stems, and leaves","Remove infected parts, apply Carbendazim, crop rotation"
Snake Gourd,Fusarium Wilt,"Yellowing leaves, wilting, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Snake Gourd,Gummy Stem Blight,"Dark lesions on stems and leaves, gummy exudates","Remove infected parts, fungicides like Mancozeb, crop rotation"
Snake Gourd,Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free seedlings, control aphid vectors, remove infected plants"
Snake Gourd,Bacterial Wilt,"Sudden wilting of plants, brown vascular tissue","Use disease-free seedlings, control insect vectors, remove infected plants"
Snake Gourd,Leaf Spot,"Small brown circular spots on leaves, premature leaf drop","Remove infected leaves, Copper oxychloride sprays, crop rotation"
Snake Gourd,Fruit Rot,"Soft brown lesions on fruits, water-soaked decay","Remove infected fruits, improve drainage, apply fungicides like Mancozeb"
Snake Gourd,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Ridge Gourd,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure proper spacing, apply Sulfur or Potassium bicarbonate sprays"
Ridge Gourd,Downy Mildew,"Yellow angular spots on leaves, gray fungal growth underside","Grow resistant varieties, improve drainage, apply fungicides like Mancozeb"
Ridge Gourd,Anthracnose,"Dark sunken lesions on fruits, stems, and leaves","Remove infected parts, apply Carbendazim, crop rotation"
Ridge Gourd,Fusarium Wilt,"Wilting, yellowing leaves, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Ridge Gourd,Gummy Stem Blight,"Dark lesions on stems and leaves, gummy exudates","Remove infected parts, fungicides like Mancozeb, crop rotation"
Ridge Gourd,Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free seedlings, control aphid vectors, remove infected plants"
Ridge Gourd,Bacterial Wilt,"Sudden wilting of plants, brown vascular tissue","Use disease-free seedlings, control insect vectors, remove infected plants"
Ridge Gourd,Leaf Spot,"Small brown circular spots on leaves, premature leaf drop","Remove infected leaves, Copper oxychloride sprays, crop rotation"
Ridge Gourd,Fruit Rot,"Soft brown lesions on fruits, water-soaked decay","Remove infected fruits, improve drainage, apply fungicides like Mancozeb"
Ridge Gourd,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Radish,Downy Mildew,"Yellow patches on upper leaf surface, grayish fungal growth underneath","Improve air circulation, grow resistant varieties, apply fungicides like Mancozeb"
Radish,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure spacing, apply Sulfur sprays"
Radish,Alternaria Leaf Spot,Brown to black spots with concentric rings on leaves,"Remove affected leaves, apply fungicides like Mancozeb, crop rotation"
Radish,Clubroot,"Swollen, distorted roots, stunted growth, yellow leaves","Use resistant varieties, lime acidic soils, crop rotation"
Radish,Bacterial Soft Rot,"Soft, water-soaked lesions on roots, foul odor","Remove infected roots, proper drainage, avoid injury during harvest"
Radish,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Radish,Leaf Blight,"Brown lesions on leaves, leaf drop","Remove infected leaves, apply fungicides, crop rotation"
Radish,Fusarium Wilt,"Wilting, yellowing of lower leaves, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Radish,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Radish,White Rust,"White pustules on leaf underside, yellowing leaves","Remove infected leaves, resistant varieties, fungicides"
Turnip,Downy Mildew,"Yellow patches on leaves, grayish fungal growth underneath","Improve air circulation, grow resistant varieties, apply fungicides like Mancozeb"
Turnip,Powdery Mildew,"White powdery growth on leaves, leaf curling","Remove infected leaves, proper spacing, apply Sulfur sprays"
Turnip,Alternaria Leaf Spot,Brown to black circular spots on leaves with concentric rings,"Remove affected leaves, fungicides like Mancozeb, crop rotation"
Turnip,Clubroot,"Swollen, distorted roots, stunted growth, yellow leaves","Use resistant varieties, lime acidic soils, crop rotation"
Turnip,Bacterial Soft Rot,"Soft, water-soaked lesions on roots, foul smell","Remove infected roots, proper drainage, avoid injury during harvest"
Turnip,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Turnip,Leaf Blight,"Brown lesions on leaves, premature leaf drop","Remove infected leaves, apply fungicides, crop rotation"
Turnip,Fusarium Wilt,"Yellowing of lower leaves, wilting, vascular browning","Use resistant varieties, crop rotation, soil solarization"
Turnip,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Turnip,White Rust,"White pustules on leaf underside, yellowing leaves","Remove infected leaves, resistant varieties, fungicides"
Beetroot,Downy Mildew,"Yellow patches on upper leaf surface, grayish fungal growth underneath","Improve air circulation, grow resistant varieties, apply fungicides like Mancozeb"
Beetroot,Powdery Mildew,"White powdery growth on leaves, leaf curling","Remove infected leaves, proper spacing, apply Sulfur sprays"
Beetroot,Cercospora Leaf Spot,Small circular brown spots on leaves with gray centers,"Remove infected leaves, fungicides like Copper oxychloride, crop rotation"
Beetroot,Bacterial Leaf Spot,"Water-soaked spots on leaves, yellowing, leaf drop","Use disease-free seeds, copper-based bactericides, crop rotation"
Beetroot,Fusarium Wilt,"Yellowing of leaves, wilting, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Beetroot,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Grow resistant varieties, soil solarization, nematicides"
Beetroot,Rhizoctonia Root Rot,"Brown rot on roots, stunted growth","Remove infected plants, soil solarization, fungicides like Carbendazim"
Beetroot,Leaf Blight,"Brown lesions on older leaves, leaf drop","Remove infected leaves, fungicides, crop rotation"
Beetroot,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Beetroot,White Rust,"White pustules on leaf underside, yellowing leaves","Remove infected leaves, resistant varieties, apply fungicides"
Coriander,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, proper spacing, apply Sulfur sprays"
Coriander,Downy Mildew,"Yellow patches on leaves, grayish fungal growth on underside","Improve air circulation, grow resistant varieties, apply fungicides like Mancozeb"
Coriander,Bacterial Leaf Spot,"Small water-soaked spots on leaves, yellowing, leaf drop","Use disease-free seeds, copper-based bactericides, crop rotation"
Coriander,Alternaria Leaf Spot,Dark circular spots on leaves with concentric rings,"Remove infected leaves, apply fungicides like Mancozeb, crop rotation"
Coriander,Fusarium Wilt,"Wilting, yellowing of lower leaves, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Coriander,Root-Knot Nematode,"Swollen roots (galls), stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Coriander,Leaf Blight,"Brown lesions on leaves, leaf drop","Remove affected leaves, apply fungicides, crop rotation"
Coriander,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Coriander,White Rust,"White pustules on leaf underside, yellowing leaves","Remove infected leaves, resistant varieties, apply fungicides"
Coriander,Stem Rot,"Soft brown decay at the base of stems, wilting","Improve drainage, remove infected plants, fungicides like Carbendazim"
Mint,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure spacing, apply Sulfur or Potassium bicarbonate sprays"
Mint,Downy Mildew,"Yellow patches on leaves, grayish fungal growth underside","Improve air circulation, grow resistant varieties, apply fungicides like Mancozeb"
Mint,Leaf Spot (Alternaria),Dark brown circular spots on leaves with concentric rings,"Remove infected leaves, apply fungicides like Mancozeb, crop rotation"
Mint,Rust,"Orange to reddish pustules on leaf underside, leaf drop","Remove infected leaves, fungicides like Mancozeb, crop rotation"
Mint,Verticillium Wilt,"Wilting, yellowing leaves, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Mint,Bacterial Leaf Spot,"Water-soaked spots on leaves, yellowing, leaf drop","Use disease-free seedlings, copper-based bactericides, crop rotation"
Mint,Anthracnose,Dark sunken lesions on leaves and stems,"Remove infected parts, apply fungicides like Carbendazim, crop rotation"
Mint,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Mint,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Mint,Leaf Curl Virus,"Leaf curling, thickened leaves, stunted growth","Use virus-free seedlings, control whitefly vectors, remove infected plants"
Indian Spinach,Downy Mildew,"Yellow patches on leaves, grayish fungal growth underside","Improve air circulation, grow resistant varieties, apply fungicides like Mancozeb"
Indian Spinach,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, proper spacing, apply Sulfur or Potassium bicarbonate sprays"
Indian Spinach,Leaf Spot (Cercospora),Small circular brown or black spots on leaves,"Remove infected leaves, fungicides like Copper oxychloride, crop rotation"
Indian Spinach,Fusarium Wilt,"Wilting of leaves, yellowing, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Indian Spinach,White Rust,"White pustules on leaf underside, yellowing leaves","Remove infected leaves, use resistant varieties, apply fungicides"
Indian Spinach,Bacterial Leaf Spot,"Water-soaked spots on leaves, yellowing, leaf drop","Use disease-free seeds, copper-based bactericides, crop rotation"
Indian Spinach,Downy Spot (Peronospora),"Yellow spots on upper leaf surface, fuzzy gray growth underneath","Improve air circulation, apply fungicides like Mancozeb, crop rotation"
Indian Spinach,Root-Knot Nematode,"Swollen roots, stunted plants, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Indian Spinach,Leaf Blight,"Brown lesions on older leaves, leaf drop","Remove infected leaves, apply fungicides, crop rotation"
Indian Spinach,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Drumstick,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure proper spacing, apply Sulfur or Potassium bicarbonate sprays"
Drumstick,Leaf Spot (Cercospora),"Small circular brown spots on leaves, leaf drop","Remove infected leaves, apply Copper oxychloride sprays, crop rotation"
Drumstick,Fusarium Wilt,"Wilting of leaves, yellowing, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Drumstick,Bacterial Leaf Spot,"Water-soaked spots on leaves, yellowing, leaf drop","Use disease-free seedlings, copper-based bactericides, crop rotation"
Drumstick,Root-Knot Nematode,"Swollen roots (galls), stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Drumstick,Anthracnose,"Dark sunken lesions on leaves, stems, and pods","Remove infected parts, apply fungicides like Carbendazim, crop rotation"
Drumstick,Powdery Scab,"Scabby lesions on roots (rare), reduced growth","Crop rotation, avoid waterlogged soil, use healthy seedlings"
Drumstick,Leaf Curl Virus,"Leaf curling, thickened leaves, stunted growth","Use virus-free seedlings, control whitefly vectors, remove infected plants"
Drumstick,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Drumstick,Stem Rot,"Soft brown lesions at the base of stem, wilting","Improve drainage, remove infected plants, fungicides like Carbendazim"
Taro,Leaf Blight,"Brown lesions on leaves, yellowing, leaf drop","Remove infected leaves, apply fungicides like Mancozeb, crop rotation"
Taro,Taro Leaf Spot,"Small dark circular spots on leaves, coalescing to large areas","Remove affected leaves, apply Copper oxychloride, crop rotation"
Taro,Fusarium Wilt,"Yellowing of leaves, wilting, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Taro,Bacterial Soft Rot,"Soft, water-soaked decay on corms, foul smell","Remove infected plants, proper drainage, avoid injury to corms"
Taro,Root-Knot Nematode,"Galls on roots and corms, stunted growth, yellowing","Use resistant varieties, soil solarization, nematicides"
Taro,Dasheen Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free corms, remove infected plants, control aphid vectors"
Taro,Anthracnose,Dark sunken lesions on leaves and petioles,"Remove infected parts, apply fungicides like Carbendazim, crop rotation"
Taro,Algal Leaf Spot,Small greenish-gray spots on leaf surface,"Remove infected leaves, improve air circulation, avoid overhead irrigation"
Taro,Phytophthora Blight,"Water-soaked lesions on leaves and corms, plant collapse","Improve drainage, remove infected plants, apply fungicides like Metalaxyl"
Taro,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
Pointed Gourd,Powdery Mildew,"White powdery growth on leaves and stems, leaf curling","Remove infected leaves, ensure proper spacing, apply Sulfur or Potassium bicarbonate sprays"
Pointed Gourd,Downy Mildew,"Yellow angular spots on leaves, gray fungal growth underside","Grow resistant varieties, improve drainage, apply fungicides like Mancozeb"
Pointed Gourd,Anthracnose,"Dark sunken lesions on fruits, stems, and leaves","Remove infected parts, apply Carbendazim, crop rotation"
Pointed Gourd,Fusarium Wilt,"Wilting, yellowing leaves, vascular browning","Use resistant varieties, soil solarization, crop rotation"
Pointed Gourd,Leaf Spot,"Small circular brown spots on leaves, leaf drop","Remove infected leaves, Copper oxychloride sprays, crop rotation"
Pointed Gourd,Mosaic Virus,"Mottled leaves, leaf curling, stunted growth","Use virus-free seedlings, control aphid vectors, remove infected plants"
Pointed Gourd,Bacterial Wilt,"Sudden wilting of plants, brown vascular tissue","Use disease-free seedlings, control insect vectors, remove infected plants"
Pointed Gourd,Fruit Rot,"Soft brown lesions on fruits, water-soaked decay","Remove infected fruits, improve drainage, apply fungicides like Mancozeb"
Pointed Gourd,Root-Knot Nematode,"Galls on roots, stunted growth, yellowing leaves","Use resistant varieties, soil solarization, nematicides"
Pointed Gourd,Aphid Infestation,"Curling and yellowing of leaves, sticky honeydew","Introduce natural predators, insecticides like Imidacloprid"
